PRODUCT_ID,PRODUCT_NAME,CATEGORY_L1,CATEGORY_L2,UNIT_PRICE,UNIT_COST,IS_SEASONAL
P00056,생수_6,음료,생수,7000.00,3653.00,False
P00057,생수_7,음료,생수,4500.00,2393.00,False
P00058,생수_8,음료,생수,4500.00,2629.00,False
P00059,생수_9,음료,생수,800.00,461.00,False
P00060,생수_10,음료,생수,4000.00,2796.00,False
P00061,생수_11,음료,생수,3500.00,1925.00,False
P00062,생수_12,음료,생수,3500.00,2352.00,False
P00063,도시락_1,간편식,도시락,4500.00,2898.00,False
P00064,도시락_2,간편식,도시락,4500.00,3046.00,False
P00065,도시락_3,간편식,도시락,6000.00,3320.00,False
P00066,도시락_4,간편식,도시락,4500.00,2556.00,False
P00067,도시락_5,간편식,도시락,1500.00,880.00,False
P00068,도시락_6,간편식,도시락,3000.00,1501.00,False
P00069,도시락_7,간편식,도시락,5000.00,3375.00,False
P00070,도시락_8,간편식,도시락,1500.00,1041.00,False
P00071,삼각김밥_1,간편식,삼각김밥,3500.00,2388.00,False
P00072,삼각김밥_2,간편식,삼각김밥,7000.00,4375.00,False
P00073,삼각김밥_3,간편식,삼각김밥,7000.00,4394.00,False
P00074,삼각김밥_4,간편식,삼각김밥,4000.00,2159.00,False
P00075,삼각김밥_5,간편식,삼각김밥,2000.00,1305.00,False
P00076,삼각김밥_6,간편식,삼각김밥,3500.00,2417.00,False
P00077,삼각김밥_7,간편식,삼각김밥,8000.00,4848.00,False
P00078,삼각김밥_8,간편식,삼각김밥,500.00,309.00,False
P00079,삼각김밥_9,간편식,삼각김밥,3000.00,1511.00,False
P00080,삼각김밥_10,간편식,삼각김밥,8000.00,4580.00,False
P00081,샌드위치_1,간편식,샌드위치,1200.00,613.00,False
P00082,샌드위치_2,간편식,샌드위치,8000.00,4907.00,False
P00083,샌드위치_3,간편식,샌드위치,800.00,413.00,False
P00084,샌드위치_4,간편식,샌드위치,3000.00,1989.00,False
P00085,샌드위치_5,간편식,샌드위치,6000.00,3639.00,False
P00086,샌드위치_6,간편식,샌드위치,1000.00,525.00,False
P00087,샌드위치_7,간편식,샌드위치,3000.00,2068.00,False
P00088,샌드위치_8,간편식,샌드위치,1000.00,553.00,False
P00089,샌드위치_9,간편식,샌드위치,7000.00,4349.00,False
P00090,샌드위치_10,간편식,샌드위치,1200.00,822.00,False
P00091,샌드위치_11,간편식,샌드위치,6000.00,3875.00,False
P00092,샌드위치_12,간편식,샌드위치,1200.00,771.00,False
P00093,컵라면_1,간편식,컵라면,4500.00,2834.00,False
P00094,컵라면_2,간편식,컵라면,3000.00,2039.00,False
P00095,컵라면_3,간편식,컵라면,3000.00,1572.00,False
P00096,컵라면_4,간편식,컵라면,1200.00,615.00,False
P00097,컵라면_5,간편식,컵라면,500.00,308.00,False
P00098,컵라면_6,간편식,컵라면,1200.00,741.00,False
P00099,컵라면_7,간편식,컵라면,500.00,257.00,False
P00100,컵라면_8,간편식,컵라면,4500.00,2302.00,False
P00101,컵라면_9,간편식,컵라면,800.00,544.00,False
P00102,컵라면_10,간편식,컵라면,7000.00,3962.00,False
P00103,컵라면_11,간편식,컵라면,3500.00,1916.00,False
P00104,컵라면_12,간편식,컵라면,4500.00,2686.00,False
P00105,컵라면_13,간편식,컵라면,3500.00,1842.00,False
P00106,컵라면_14,간편식,컵라면,8000.00,5411.00,False
P00107,핫도그_1,간편식,핫도그,1200.00,788.00,False
P00108,핫도그_2,간편식,핫도그,6000.00,3488.00,False
P00109,핫도그_3,간편식,핫도그,800.00,415.00,False
P00110,핫도그_4,간편식,핫도그,2500.00,1427.00,False
P00111,핫도그_5,간편식,핫도그,2500.00,1483.00,False
P00112,핫도그_6,간편식,핫도그,5000.00,2554.00,False
P00113,핫도그_7,간편식,핫도그,4500.00,3135.00,False
P00114,핫도그_8,간편식,핫도그,800.00,409.00,False
P00115,핫도그_9,간편식,핫도그,5000.00,2839.00,False
P00116,핫도그_10,간편식,핫도그,7000.00,3652.00,False
P00117,핫도그_11,간편식,핫도그,1200.00,645.00,False
P00118,핫도그_12,간편식,핫도그,3000.00,1584.00,False
P00119,핫도그_13,간편식,핫도그,1000.00,555.00,False
P00120,핫도그_14,간편식,핫도그,1200.00,809.00,False
P00121,핫도그_15,간편식,핫도그,800.00,470.00,False
P00122,과자_1,과자/스낵,과자,500.00,315.00,False
P00123,과자_2,과자/스낵,과자,3500.00,2335.00,False
P00124,과자_3,과자/스낵,과자,800.00,548.00,False
P00125,과자_4,과자/스낵,과자,7000.00,3830.00,False
P00126,과자_5,과자/스낵,과자,2500.00,1492.00,False
P00127,과자_6,과자/스낵,과자,1200.00,807.00,False
P00128,과자_7,과자/스낵,과자,8000.00,4093.00,False
P00129,과자_8,과자/스낵,과자,2500.00,1251.00,False
P00130,과자_9,과자/스낵,과자,2500.00,1382.00,False
P00131,초콜릿_1,과자/스낵,초콜릿,1500.00,876.00,False
P00132,초콜릿_2,과자/스낵,초콜릿,5000.00,3495.00,False
P00133,초콜릿_3,과자/스낵,초콜릿,3500.00,2213.00,False
P00134,초콜릿_4,과자/스낵,초콜릿,3000.00,1592.00,False
P00135,초콜릿_5,과자/스낵,초콜릿,1500.00,815.00,False
P00136,초콜릿_6,과자/스낵,초콜릿,500.00,307.00,False
P00137,초콜릿_7,과자/스낵,초콜릿,3500.00,1792.00,False
P00138,초콜릿_8,과자/스낵,초콜릿,2000.00,1022.00,False
P00139,초콜릿_9,과자/스낵,초콜릿,4000.00,2381.00,False
P00140,초콜릿_10,과자/스낵,초콜릿,8000.00,5364.00,False
P00141,초콜릿_11,과자/스낵,초콜릿,1000.00,511.00,False
P00142,초콜릿_12,과자/스낵,초콜릿,3500.00,1806.00,False
P00143,초콜릿_13,과자/스낵,초콜릿,1000.00,513.00,False
P00144,초콜릿_14,과자/스낵,초콜릿,800.00,508.00,False
P00145,초콜릿_15,과자/스낵,초콜릿,1200.00,696.00,False
P00146,사탕_1,과자/스낵,사탕,4000.00,2475.00,False
P00147,사탕_2,과자/스낵,사탕,4000.00,2065.00,False
P00148,사탕_3,과자/스낵,사탕,4500.00,2775.00,False
P00149,사탕_4,과자/스낵,사탕,3500.00,1971.00,False
P00150,사탕_5,과자/스낵,사탕,1500.00,811.00,False
P00151,사탕_6,과자/스낵,사탕,5000.00,2814.00,False
P00152,사탕_7,과자/스낵,사탕,1500.00,868.00,False
P00153,사탕_8,과자/스낵,사탕,4500.00,2830.00,False
P00154,사탕_9,과자/스낵,사탕,3000.00,1689.00,False
P00155,사탕_10,과자/스낵,사탕,6000.00,4122.00,False
P00156,사탕_11,과자/스낵,사탕,500.00,295.00,False
P00157,젤리_1,과자/스낵,젤리,800.00,486.00,False
P00158,젤리_2,과자/스낵,젤리,3500.00,1935.00,False
P00159,젤리_3,과자/스낵,젤리,8000.00,4558.00,False
P00160,젤리_4,과자/스낵,젤리,800.00,540.00,False
P00161,젤리_5,과자/스낵,젤리,2000.00,1113.00,False
P00162,젤리_6,과자/스낵,젤리,3000.00,2000.00,False
P00163,젤리_7,과자/스낵,젤리,5000.00,2802.00,False
P00164,젤리_8,과자/스낵,젤리,6000.00,3784.00,False
P00165,젤리_9,과자/스낵,젤리,500.00,316.00,False
P00166,일반담배_1,담배,일반담배,8000.00,5061.00,False
P00167,일반담배_2,담배,일반담배,8000.00,4214.00,False
P00168,일반담배_3,담배,일반담배,800.00,542.00,False
P00169,일반담배_4,담배,일반담배,5000.00,3053.00,False
P00170,일반담배_5,담배,일반담배,1500.00,834.00,False
P00171,일반담배_6,담배,일반담배,1200.00,772.00,False
P00172,일반담배_7,담배,일반담배,1200.00,764.00,False
P00173,일반담배_8,담배,일반담배,7000.00,3869.00,False
P00174,일반담배_9,담배,일반담배,3000.00,1650.00,False
P00175,일반담배_10,담배,일반담배,8000.00,5353.00,False
P00176,일반담배_11,담배,일반담배,800.00,501.00,False
P00177,일반담배_12,담배,일반담배,7000.00,3887.00,False
P00178,전자담배_1,담배,전자담배,2000.00,1308.00,False
P00179,전자담배_2,담배,전자담배,4500.00,3131.00,False
P00180,전자담배_3,담배,전자담배,1000.00,648.00,False
P00181,전자담배_4,담배,전자담배,3500.00,2243.00,False
P00182,전자담배_5,담배,전자담배,3500.00,1756.00,False
P00183,전자담배_6,담배,전자담배,800.00,551.00,False
P00184,전자담배_7,담배,전자담배,5000.00,3403.00,False
P00185,전자담배_8,담배,전자담배,3500.00,1775.00,False
P00186,콘_1,아이스크림,콘,4000.00,2442.00,False
P00187,콘_2,아이스크림,콘,2500.00,1313.00,False
P00188,콘_3,아이스크림,콘,1500.00,859.00,False
P00189,콘_4,아이스크림,콘,8000.00,5273.00,False
P00190,콘_5,아이스크림,콘,7000.00,3555.00,False
P00191,콘_6,아이스크림,콘,2000.00,1084.00,False
P00192,콘_7,아이스크림,콘,1200.00,760.00,False
P00193,콘_8,아이스크림,콘,2000.00,1312.00,False
P00194,콘_9,아이스크림,콘,8000.00,5399.00,False
P00195,콘_10,아이스크림,콘,4000.00,2599.00,False
P00196,콘_11,아이스크림,콘,8000.00,5487.00,False
P00197,콘_12,아이스크림,콘,7000.00,3727.00,False
P00198,콘_13,아이스크림,콘,6000.00,3972.00,False
P00199,바_1,아이스크림,바,500.00,267.00,False
P00200,바_2,아이스크림,바,8000.00,4531.00,False
P00201,바_3,아이스크림,바,8000.00,4658.00,False
P00202,바_4,아이스크림,바,4500.00,3027.00,False
P00203,바_5,아이스크림,바,6000.00,3297.00,False
P00204,바_6,아이스크림,바,1000.00,657.00,False
P00205,바_7,아이스크림,바,800.00,461.00,False
P00206,바_8,아이스크림,바,500.00,335.00,False
P00207,바_9,아이스크림,바,1200.00,647.00,False
P00208,바_10,아이스크림,바,8000.00,4736.00,False
P00209,바_11,아이스크림,바,1500.00,996.00,False
P00210,바_12,아이스크림,바,7000.00,3818.00,False
P00211,바_13,아이스크림,바,500.00,316.00,False
P00212,바_14,아이스크림,바,2500.00,1414.00,False
P00213,컵_1,아이스크림,컵,6000.00,3334.00,False
P00214,컵_2,아이스크림,컵,4500.00,2708.00,False
P00215,컵_3,아이스크림,컵,4500.00,3133.00,False
P00216,컵_4,아이스크림,컵,3500.00,1981.00,False
P00217,컵_5,아이스크림,컵,500.00,261.00,False
P00218,컵_6,아이스크림,컵,1500.00,803.00,False
P00219,컵_7,아이스크림,컵,1500.00,761.00,False
P00220,컵_8,아이스크림,컵,4000.00,2347.00,False
P00221,컵_9,아이스크림,컵,5000.00,3286.00,False
P00222,우유_1,유제품,우유,4000.00,2787.00,False
P00223,우유_2,유제품,우유,800.00,461.00,False
P00224,우유_3,유제품,우유,4000.00,2152.00,False
P00225,우유_4,유제품,우유,500.00,320.00,False
P00226,우유_5,유제품,우유,500.00,301.00,False
P00227,우유_6,유제품,우유,6000.00,3646.00,False
P00228,우유_7,유제품,우유,5000.00,3440.00,False
P00229,우유_8,유제품,우유,5000.00,3170.00,False
P00230,우유_9,유제품,우유,2000.00,1172.00,False
P00231,우유_10,유제품,우유,4500.00,3078.00,False
P00232,우유_11,유제품,우유,4000.00,2251.00,False
P00233,우유_12,유제품,우유,7000.00,3674.00,False
P00234,우유_13,유제품,우유,8000.00,4480.00,False
P00235,우유_14,유제품,우유,1500.00,950.00,False
P00236,요거트_1,유제품,요거트,2500.00,1598.00,False
P00237,요거트_2,유제품,요거트,3500.00,1839.00,False
P00238,요거트_3,유제품,요거트,2500.00,1582.00,False
P00239,요거트_4,유제품,요거트,2500.00,1588.00,False
P00240,요거트_5,유제품,요거트,8000.00,4278.00,False
P00241,요거트_6,유제품,요거트,4000.00,2240.00,False
P00242,요거트_7,유제품,요거트,3500.00,2333.00,False
P00243,요거트_8,유제품,요거트,1500.00,836.00,False
P00244,요거트_9,유제품,요거트,2500.00,1642.00,False
P00245,요거트_10,유제품,요거트,4000.00,2523.00,False
P00246,요거트_11,유제품,요거트,3000.00,1765.00,False
P00247,요거트_12,유제품,요거트,4500.00,2442.00,False
P00248,요거트_13,유제품,요거트,3000.00,1976.00,False
P00249,치즈_1,유제품,치즈,4500.00,2326.00,False
P00250,치즈_2,유제품,치즈,3500.00,2214.00,False
P00251,치즈_3,유제품,치즈,4000.00,2268.00,False
P00252,치즈_4,유제품,치즈,7000.00,4832.00,False
P00253,치즈_5,유제품,치즈,1200.00,761.00,False
P00254,치즈_6,유제품,치즈,1200.00,793.00,False
P00255,치즈_7,유제품,치즈,1000.00,504.00,False
P00256,치즈_8,유제품,치즈,1200.00,836.00,False
P00257,치즈_9,유제품,치즈,4000.00,2679.00,False
P00258,치즈_10,유제품,치즈,800.00,472.00,False
P00259,위생용품_1,생활용품,위생용품,5000.00,3196.00,False
P00260,위생용품_2,생활용품,위생용품,3000.00,1739.00,False
P00261,위생용품_3,생활용품,위생용품,1000.00,631.00,False
P00262,위생용품_4,생활용품,위생용품,500.00,339.00,False
P00263,위생용품_5,생활용품,위생용품,7000.00,4578.00,False
P00264,위생용품_6,생활용품,위생용품,800.00,524.00,False
P00265,위생용품_7,생활용품,위생용품,1200.00,642.00,False
P00266,위생용품_8,생활용품,위생용품,5000.00,3017.00,False
P00267,위생용품_9,생활용품,위생용품,500.00,305.00,False
P00268,위생용품_10,생활용품,위생용품,8000.00,5357.00,False
P00269,위생용품_11,생활용품,위생용품,3000.00,1580.00,False
P00270,문구_1,생활용품,문구,4500.00,2728.00,False
P00271,문구_2,생활용품,문구,3500.00,2166.00,False
P00272,문구_3,생활용품,문구,6000.00,4069.00,False
P00273,문구_4,생활용품,문구,4000.00,2652.00,False
P00274,문구_5,생활용품,문구,8000.00,4807.00,False
P00275,문구_6,생활용품,문구,7000.00,4769.00,False
P00276,문구_7,생활용품,문구,3000.00,2038.00,False
P00277,문구_8,생활용품,문구,5000.00,3361.00,False
P00278,문구_9,생활용품,문구,3000.00,1655.00,False
P00279,문구_10,생활용품,문구,1200.00,801.00,False
P00280,문구_11,생활용품,문구,1500.00,979.00,False
P00281,문구_12,생활용품,문구,3500.00,2089.00,False
P00282,문구_13,생활용품,문구,1200.00,665.00,False
P00283,문구_14,생활용품,문구,800.00,514.00,False
P00284,문구_15,생활용품,문구,1200.00,665.00,False
P00285,우산_1,생활용품,우산,8000.00,4864.00,False
P00286,우산_2,생활용품,우산,1000.00,530.00,False
P00287,우산_3,생활용품,우산,2500.00,1596.00,False
P00288,우산_4,생활용품,우산,5000.00,2713.00,False
P00289,우산_5,생활용품,우산,2500.00,1453.00,False
P00290,우산_6,생활용품,우산,3500.00,2076.00,False
P00291,우산_7,생활용품,우산,500.00,270.00,False
P00292,우산_8,생활용품,우산,2500.00,1444.00,False
P00293,우산_9,생활용품,우산,6000.00,3700.00,False
P00294,우산_10,생활용품,우산,5000.00,2519.00,False
P00295,우산_11,생활용품,우산,8000.00,5224.00,False
P00296,우산_12,생활용품,우산,2500.00,1488.00,False
P00297,우산_13,생활용품,우산,2000.00,1119.00,False
P00298,맥주_1,주류,맥주,7000.00,4748.00,False
P00299,맥주_2,주류,맥주,7000.00,4086.00,False
P00300,맥주_3,주류,맥주,5000.00,3234.00,False
P00301,맥주_4,주류,맥주,6000.00,3723.00,False
P00302,맥주_5,주류,맥주,1200.00,717.00,False
P00303,맥주_6,주류,맥주,1500.00,880.00,False
P00304,맥주_7,주류,맥주,500.00,288.00,False
P00305,맥주_8,주류,맥주,4500.00,2861.00,False
P00306,맥주_9,주류,맥주,2500.00,1612.00,False
P00307,맥주_10,주류,맥주,7000.00,4154.00,False
P00308,맥주_11,주류,맥주,1000.00,696.00,False
P00309,맥주_12,주류,맥주,3500.00,1768.00,False
P00310,맥주_13,주류,맥주,2500.00,1545.00,False
P00311,맥주_14,주류,맥주,4500.00,2274.00,False
P00312,소주_1,주류,소주,1000.00,673.00,False
P00313,소주_2,주류,소주,1000.00,510.00,False
P00314,소주_3,주류,소주,2500.00,1413.00,False
P00315,소주_4,주류,소주,3000.00,1696.00,False
P00316,소주_5,주류,소주,6000.00,4055.00,False
P00317,소주_6,주류,소주,1500.00,975.00,False
P00318,소주_7,주류,소주,7000.00,4090.00,False
P00319,소주_8,주류,소주,7000.00,3614.00,False
P00320,소주_9,주류,소주,500.00,324.00,False
P00321,소주_10,주류,소주,500.00,349.00,False
P00322,소주_11,주류,소주,2000.00,1089.00,False
P00323,소주_12,주류,소주,800.00,524.00,False
P00324,소주_13,주류,소주,4500.00,2286.00,False
P00325,소주_14,주류,소주,500.00,344.00,False
P00326,와인_1,주류,와인,7000.00,3528.00,False
P00327,와인_2,주류,와인,1000.00,547.00,False
P00328,와인_3,주류,와인,3000.00,1901.00,False
P00329,와인_4,주류,와인,4000.00,2758.00,False
P00330,와인_5,주류,와인,3000.00,1919.00,False
P00331,와인_6,주류,와인,6000.00,3442.00,False
P00332,와인_7,주류,와인,4000.00,2485.00,False
P00333,와인_8,주류,와인,5000.00,3218.00,False
P00334,와인_9,주류,와인,6000.00,3983.00,False
P00335,와인_10,주류,와인,1500.00,782.00,False
P00336,와인_11,주류,와인,500.00,342.00,False
P00337,발렌타인_1,시즌상품,발렌타인,2500.00,1720.00,True
P00338,발렌타인_2,시즌상품,발렌타인,1200.00,618.00,True
P00339,발렌타인_3,시즌상품,발렌타인,5000.00,3330.00,True
P00340,발렌타인_4,시즌상품,발렌타인,1200.00,624.00,True
P00341,발렌타인_5,시즌상품,발렌타인,6000.00,3361.00,True
P00342,발렌타인_6,시즌상품,발렌타인,4500.00,2790.00,True
P00343,발렌타인_7,시즌상품,발렌타인,800.00,527.00,True
P00344,발렌타인_8,시즌상품,발렌타인,4000.00,2626.00,True
P00345,발렌타인_9,시즌상품,발렌타인,2000.00,1213.00,True
P00346,발렌타인_10,시즌상품,발렌타인,4500.00,2583.00,True
P00347,발렌타인_11,시즌상품,발렌타인,3500.00,2203.00,True
P00348,발렌타인_12,시즌상품,발렌타인,500.00,334.00,True
P00349,발렌타인_13,시즌상품,발렌타인,7000.00,4186.00,True
P00350,발렌타인_14,시즌상품,발렌타인,2500.00,1730.00,True
P00351,빼빼로_1,시즌상품,빼빼로,5000.00,2652.00,True
P00352,빼빼로_2,시즌상품,빼빼로,1000.00,646.00,True
P00353,빼빼로_3,시즌상품,빼빼로,4500.00,2493.00,True
P00354,빼빼로_4,시즌상품,빼빼로,6000.00,4103.00,True
P00355,빼빼로_5,시즌상품,빼빼로,6000.00,3580.00,True
P00356,빼빼로_6,시즌상품,빼빼로,2500.00,1662.00,True
P00357,빼빼로_7,시즌상품,빼빼로,4000.00,2214.00,True
P00358,빼빼로_8,시즌상품,빼빼로,7000.00,3843.00,True
P00359,빼빼로_9,시즌상품,빼빼로,8000.00,4138.00,True
P00360,빼빼로_10,시즌상품,빼빼로,8000.00,4721.00,True
P00361,빼빼로_11,시즌상품,빼빼로,6000.00,3557.00,True
P00362,빼빼로_12,시즌상품,빼빼로,4000.00,2534.00,True
P00363,빼빼로_13,시즌상품,빼빼로,2000.00,1011.00,True
P00364,빼빼로_14,시즌상품,빼빼로,7000.00,3955.00,True
P00365,빼빼로_15,시즌상품,빼빼로,3000.00,1627.00,True
P00366,수능_1,시즌상품,수능,2000.00,1111.00,True
P00367,수능_2,시즌상품,수능,4000.00,2560.00,True
P00368,수능_3,시즌상품,수능,1500.00,916.00,True
P00369,수능_4,시즌상품,수능,3500.00,2413.00,True
P00370,수능_5,시즌상품,수능,800.00,438.00,True
P00371,수능_6,시즌상품,수능,2500.00,1494.00,True
P00372,수능_7,시즌상품,수능,6000.00,3288.00,True
P00373,수능_8,시즌상품,수능,3000.00,1887.00,True
P00374,수능_9,시즌상품,수능,3000.00,1768.00,True
P00375,수능_10,시즌상품,수능,500.00,259.00,True
P00376,수능_11,시즌상품,수능,1200.00,697.00,True
P00377,수능_12,시즌상품,수능,1200.00,673.00,True
P00378,크리스마스_1,시즌상품,크리스마스,3000.00,1832.00,True
P00379,크리스마스_2,시즌상품,크리스마스,2000.00,1170.00,True
P00380,크리스마스_3,시즌상품,크리스마스,5000.00,3050.00,True
P00381,크리스마스_4,시즌상품,크리스마스,2000.00,1281.00,True
P00382,크리스마스_5,시즌상품,크리스마스,1500.00,841.00,True
P00383,크리스마스_6,시즌상품,크리스마스,1200.00,628.00,True
P00384,크리스마스_7,시즌상품,크리스마스,1200.00,675.00,True
P00385,크리스마스_8,시즌상품,크리스마스,5000.00,3035.00,True
P00386,크리스마스_9,시즌상품,크리스마스,6000.00,3828.00,True
P00387,크리스마스_10,시즌상품,크리스마스,1200.00,651.00,True
P00388,크리스마스_11,시즌상품,크리스마스,3000.00,1665.00,True
P00389,크리스마스_12,시즌상품,크리스마스,4000.00,2781.00,True
P00390,크리스마스_13,시즌상품,크리스마스,3500.00,2167.00,True
