STORE_ID,STORE_NAME,REGION,STORE_TYPE,OPEN_DATE
S0063,Snow25_부산_20호점,부산,주거지,2020-02-22
S0064,Snow25_대구_1호점,대구,오피스,2023-10-12
S0065,Snow25_대구_2호점,대구,병원,2023-04-17
S0066,Snow25_대구_3호점,대구,역세권,2023-10-08
S0067,Snow25_대구_4호점,대구,주거지,2023-03-26
S0068,Snow25_대구_5호점,대구,역세권,2020-12-24
S0069,Snow25_대구_6호점,대구,대학가,2022-11-28
S0070,Snow25_대구_7호점,대구,대학가,2021-07-23
S0071,Snow25_대구_8호점,대구,오피스,2023-04-13
S0072,Snow25_대구_9호점,대구,대학가,2023-07-24
S0073,Snow25_대구_10호점,대구,대학가,2020-07-05
S0074,Snow25_대구_11호점,대구,대학가,2021-12-13
S0075,Snow25_대전_1호점,대전,주거지,2021-10-19
S0076,Snow25_대전_2호점,대전,역세권,2020-11-25
S0077,Snow25_대전_3호점,대전,주거지,2022-04-23
S0078,Snow25_대전_4호점,대전,대학가,2021-08-13
S0079,Snow25_대전_5호점,대전,대학가,2023-01-31
S0080,Snow25_대전_6호점,대전,역세권,2022-07-20
S0081,Snow25_대전_7호점,대전,역세권,2021-10-06
S0082,Snow25_대전_8호점,대전,주거지,2021-10-24
S0083,Snow25_대전_9호점,대전,역세권,2022-04-07
S0084,Snow25_대전_10호점,대전,병원,2020-01-03
S0085,Snow25_대전_11호점,대전,병원,2022-08-04
S0086,Snow25_대전_12호점,대전,대학가,2020-04-21
S0087,Snow25_대전_13호점,대전,오피스,2022-11-27
S0088,Snow25_대전_14호점,대전,주거지,2023-06-29
S0089,Snow25_대전_15호점,대전,대학가,2023-07-04
S0090,Snow25_대전_16호점,대전,대학가,2020-04-15
S0091,Snow25_광주_1호점,광주,주거지,2023-01-29
S0092,Snow25_광주_2호점,광주,오피스,2021-08-12
S0093,Snow25_광주_3호점,광주,대학가,2023-12-01
S0094,Snow25_광주_4호점,광주,대학가,2020-09-05
S0095,Snow25_광주_5호점,광주,역세권,2023-07-14
S0096,Snow25_광주_6호점,광주,병원,2021-05-05
S0097,Snow25_광주_7호점,광주,오피스,2021-09-28
S0098,Snow25_광주_8호점,광주,병원,2020-01-29
S0099,Snow25_광주_9호점,광주,병원,2022-04-15
S0100,Snow25_광주_10호점,광주,역세권,2021-04-05
S0101,Snow25_광주_11호점,광주,역세권,2022-08-03
S0102,Snow25_광주_12호점,광주,역세권,2023-08-19
S0103,Snow25_광주_13호점,광주,오피스,2022-10-17
